,timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassX,compassY,compassZ,fusionPoseX,fusionPoseY,fusionPoseZ,tiltHeading,pressure,temperature,humidity,dt
0,2023-04-24T23:21:35.772Z,0.002195999957621,-0.0988200008869171,-1.0099159479141235,0.0119222849607467,0.0045896600931882,-0.0106463432312011,-13.000399589538574,6.7340006828308105,-7.977200508117676,-3.044053316116333,-0.0021640993654727,2.6200718879699707,2.6200718879699707,1006.694580078125,42.44619369506836,16.567462921142578,0.0
2,2023-04-24T23:21:35.872Z,0.0046359999105334,-0.1019919961690902,-1.0084519386291504,0.0354455523192882,0.0045125233009457,-0.0161731019616127,-23.43992042541504,12.11000156402588,-14.28896141052246,-3.0405049324035645,-0.0028111187275499,2.621621608734131,2.62057900428772,1006.6943359375,42.427978515625,16.56999969482422,0.1
4,2023-04-24T23:21:35.973Z,0.002195999957621,-0.1015039980411529,-1.0084519386291504,0.0075225941836833,0.0056378785520792,-0.0110964924097061,-31.645936965942383,16.39400291442871,-19.632369995117188,-3.039778232574463,-0.0034651842433959,2.622593641281128,2.618358850479126,1006.6904296875,42.44619369506836,16.59537124633789,0.201
6,2023-04-24T23:21:36.074Z,0.0024399999529123,-0.1007720008492469,-1.010159969329834,0.020008735358715,0.0046422276645898,-0.0139129906892776,-38.23315048217773,19.866003036499023,-23.635496139526367,-3.0378518104553223,-0.0040416326373815,2.623819351196289,2.617791652679444,1006.688232421875,42.44619369506836,16.336584091186523,0.302
8,2023-04-24T23:21:36.175Z,0.0019519999623298,-0.1027240008115768,-1.0082080364227295,0.0229757465422153,0.0042639076709747,-0.0136791616678237,-43.61492156982422,22.53160285949707,-27.280397415161133,-3.0356314182281494,-0.004559566732496,2.6250128746032715,2.6184732913970947,1006.6962890625,42.44619369506836,16.531944274902344,0.403
10,2023-04-24T23:21:36.275Z,-0.0004879999905824,-0.0997959971427917,-1.0089399814605713,0.0126797258853912,0.0044925445690751,-0.0131489634513854,-47.92593765258789,24.770483016967773,-29.737117767333984,-3.034542798995972,-0.005032564047724,2.62613296508789,2.6193292140960693,1006.6962890625,42.46440505981445,16.08794403076172,0.503
12,2023-04-24T23:21:36.375Z,0.0024399999529123,-0.0990639999508857,-1.010159969329834,0.018172301352024,0.0062188347801566,-0.0081231817603111,-51.40835189819336,26.449586868286133,-31.962894439697266,-3.0329465866088867,-0.0056730611249804,2.626779556274414,2.6220569610595703,1006.697265625,42.44619369506836,16.54970359802246,0.603
14,2023-04-24T23:21:36.476Z,0.0012199999764561,-0.099551998078823,-1.010159969329834,0.0199689865112304,0.0046128211542963,-0.014893539249897,-54.03748321533203,27.815269470214844,-33.6483154296875,-3.031193733215332,-0.0061956401914358,2.6280808448791504,2.621309757232666,1006.708740234375,42.26407241821289,16.643577575683594,0.704
16,2023-04-24T23:21:36.576Z,0.0012199999764561,-0.1015039980411529,-1.009671926498413,0.0187324695289134,0.0051358919590711,-0.0134420320391654,-56.3311882019043,28.81821632385254,-34.70545196533203,-3.029559135437012,-0.0067454674281179,2.6292471885681152,2.623326778411865,1006.709716796875,42.427978515625,16.572538375854492,0.804
18,2023-04-24T23:21:36.677Z,0.0029279999434947,-0.1010159999132156,-1.0086959600448608,0.0145137496292591,0.0032477788627147,-0.0111140236258506,-57.99254989624024,29.68777275085449,-35.881561279296875,-3.028381824493408,-0.0071082371287047,2.6301827430725098,2.623446464538574,1006.712646484375,42.46440505981445,16.32897186279297,0.905
20,2023-04-24T23:21:36.777Z,0.0012199999764561,-0.0997959971427917,-1.0091840028762815,0.0175731107592582,0.006496487185359,-0.0097260326147079,-59.394439697265625,30.450618743896484,-36.84204864501953,-3.0269503593444824,-0.0077333124354481,2.6309163570404053,2.6228833198547363,1006.7236328125,42.44619369506836,16.493886947631836,1.005
22,2023-04-24T23:21:36.877Z,0.0014639999717473,-0.1012599989771843,-1.0094280242919922,0.0148753747344017,0.0051861042156815,-0.0080610737204551,-60.61675262451172,31.12249565124512,-37.5124397277832,-3.025789737701416,-0.0082023264840245,2.6314640045166016,2.621887683868408,1006.720947265625,42.44619369506836,16.48627471923828,1.105
24,2023-04-24T23:21:36.978Z,0.0619760006666183,-0.100283995270729,-1.0094280242919922,0.016097106039524,0.0033535091206431,-0.0123371258378028,-61.66180419921875,31.391197204589844,-38.15235137939453,-3.024548053741455,-0.0097286244854331,2.63277006149292,2.6388816833496094,1006.736572265625,42.39155578613281,16.531944274902344,1.206
26,2023-04-24T23:21:37.078Z,0.0009759999811649,-0.1017479971051216,-1.009671926498413,0.0176242664456367,0.0030480762943625,-0.0117262601852417,-62.33544158935547,31.80215835571289,-38.5606803894043,-3.023154020309448,-0.0099856741726398,2.6337087154388428,2.6240358352661133,1006.736328125,42.409767150878906,16.16152000427246,1.306
28,2023-04-24T23:21:37.179Z,0.0017079999670386,-0.1007720008492469,-1.0104039907455444,0.0137244649231433,0.0053992420434951,-0.0118294805288314,-62.79035186767578,32.142127990722656,-38.937744140625,-3.0221972465515137,-0.0104818660765886,2.634592056274414,2.6232457160949707,1006.744873046875,42.519039154052734,16.298526763916016,1.407
30,2023-04-24T23:21:37.279Z,0.0009759999811649,-0.1012599989771843,-1.0089399814605713,0.0170973949134349,0.0047078998759388,-0.0089279636740684,-63.21588134765625,32.38610076904297,-39.29819488525391,-3.0209109783172607,-0.0108536183834075,2.6351656913757324,2.6223809719085693,1006.749755859375,42.37334442138672,16.22748565673828,1.5070000000000001
32,2023-04-24T23:21:37.379Z,0.0039039999246597,-0.1010159999132156,-1.0082080364227295,0.0141073502600193,0.0052293743938207,-0.0075767263770103,-63.62350463867188,32.67647933959961,-39.82735824584961,-3.0199477672576904,-0.011310757137835,2.635578393936157,2.621877431869507,1006.74169921875,42.35513305664063,15.704835891723633,1.607
34,2023-04-24T23:21:37.480Z,-0.0007319999858736,-0.0919879972934722,-1.0077199935913086,-0.0488923043012619,0.0060423845425248,-0.0083502829074859,-63.79280471801758,32.852783203125,-39.76628494262695,-3.0254178047180176,-0.0117606287822127,2.6360955238342285,2.6237025260925293,1006.733154296875,42.48261642456055,16.674022674560547,1.708
36,2023-04-24T23:21:37.581Z,0.0531919971108436,-0.1266359984874725,-1.1516799926757812,0.2223318517208099,0.0662126094102859,-0.0450021922588348,-63.97864532470703,32.982627868652344,-40.23262786865234,-3.0037589073181152,-0.0194547343999147,2.6394433975219727,2.6258087158203125,1006.732421875,42.28228378295898,16.270618438720703,1.8090000000000002
38,2023-04-24T23:21:37.681Z,0.0087839998304843,-0.1356640011072158,-1.069451928138733,0.0198300331830978,0.0158162266016006,-0.0101828798651695,-64.20571899414062,32.99690246582031,-40.17170333862305,-3.0020570755004883,-0.0209012143313884,2.6396632194519043,2.611574411392212,1006.7294921875,42.519039154052734,16.602983474731445,1.909
40,2023-04-24T23:21:37.781Z,0.0158599987626075,-0.0854000002145767,-0.9994239807128906,-0.1606806516647339,0.0063478173688054,-0.0077394172549247,-64.43217468261719,33.06432342529297,-40.29096221923828,-3.018948793411255,-0.0215143095701932,2.640174627304077,2.631495475769043,1006.72509765625,42.427978515625,16.39240074157715,2.009
42,2023-04-24T23:21:37.881Z,0.0002439999952912,-0.0580720007419586,-1.0145519971847534,-0.0360586121678352,0.002937838435173,-0.0136153250932693,-64.64134216308594,33.37025833129883,-40.19316864013672,-3.0238285064697266,-0.0215346533805131,2.64143967628479,2.638098955154419,1006.72900390625,42.37334442138672,16.4228458404541,2.109
44,2023-04-24T23:21:37.982Z,0.006343999877572,-0.1549399942159652,-1.105563998222351,0.3350420296192169,-0.028827155008912,-0.0142261907458305,-64.657470703125,33.519805908203125,-40.11773681640625,-2.9905145168304443,-0.0185940489172935,2.642435073852539,2.602877140045166,1006.73291015625,42.37334442138672,16.33150863647461,2.21
46,2023-04-24T23:21:38.082Z,0.013663999736309,-0.0502640008926391,-1.018455982208252,-0.2529157698154449,0.0423386469483375,-0.0145316272974014,-64.67597961425781,33.61704635620117,-40.13578796386719,-3.0174262523651123,-0.0228080488741397,2.643279552459717,2.642256736755371,1006.73779296875,42.53725051879883,16.71715545654297,2.31
48,2023-04-24T23:21:38.182Z,0.0041479999199509,-0.0505079999566078,-1.0069879293441772,-0.005422655493021,0.006191755644977,-0.0097829103469848,-64.84758758544922,33.86283874511719,-40.31262969970703,-3.019460439682007,-0.0231535285711288,2.6440629959106445,2.6377267837524414,1006.73876953125,42.33692169189453,16.407623291015625,2.41
50,2023-04-24T23:21:38.283Z,0.0041479999199509,-0.0807639956474304,-1.0230920314788818,0.0931666493415832,0.0057873930782079,-0.0105193853378295,-64.85047149658203,34.08747100830078,-40.2217025756836,-3.0111920833587646,-0.0234544556587934,2.6445937156677246,2.622405529022217,1006.7333984375,42.50082778930664,16.4228458404541,2.511
52,2023-04-24T23:21:38.383Z,0.0002439999952912,-0.0607559978961944,-1.0055240392684937,0.0117212124168872,0.0071916216984391,-0.011844091117382,-64.69597625732422,34.143978118896484,-40.10416412353516,-3.0114636421203613,-0.0238299947232007,2.645339250564575,2.627983808517456,1006.7275390625,42.44619369506836,16.372102737426758,2.6109999999999998
54,2023-04-24T23:21:38.483Z,0.0102479998022317,-0.0795440003275871,-1.0050359964370728,0.0664789974689483,-0.0055418154224753,-0.0134468227624893,-64.71797943115234,34.20598220825195,-40.197731018066406,-3.0059876441955566,-0.0231788456439971,2.6462535858154297,2.6215896606445312,1006.724609375,42.39155578613281,15.999143600463867,2.711
56,2023-04-24T23:21:38.583Z,0.0888160020112991,-0.0688079968094825,-0.985759973526001,0.3948190808296203,-0.0342524833977222,-0.0155848562717437,-64.84758758544922,34.10438537597656,-40.25298690795898,-2.968574285507202,-0.0214170943945646,2.648191213607788,2.645081043243408,1006.7294921875,42.53725051879883,16.65118980407715,2.811
58,2023-04-24T23:21:38.684Z,-0.0051239999011158,-0.06734399497509,-1.020408034324646,-0.1189186125993728,-0.0318090207874774,-0.0070327371358871,-64.82807159423828,34.19670867919922,-40.23558807373047,-2.9824252128601074,-0.0178970135748386,2.6489386558532715,2.6243553161621094,1006.72509765625,42.409767150878906,16.531944274902344,2.912
60,2023-04-24T23:21:38.784Z,0.0029279999434947,-0.0653920024633407,-1.0150399208068848,0.1510838270187378,-0.0253949351608753,-0.0048947110772132,-64.83485412597656,34.2481689453125,-40.0424690246582,-2.969487428665161,-0.0151908323168754,2.6493947505950928,2.62662124633789,1006.71923828125,42.46440505981445,16.39240074157715,3.012
62,2023-04-24T23:21:38.885Z,0.0109799997881054,-0.0617319978773593,-1.0104039907455444,0.2042291015386581,0.007897219620645,-0.007338173687458,-64.79548645019531,34.19973373413086,-39.87677383422852,-2.9515295028686523,-0.0159781221300363,2.649595022201538,2.630457162857056,1006.716552734375,42.46440505981445,17.077428817749023,3.113
64,2023-04-24T23:21:38.985Z,-0.0614879988133907,-0.1256600022315979,-0.998691976070404,0.1672717481851577,0.0320263989269733,-0.0088653340935707,-64.69679260253906,34.06578826904297,-39.906620025634766,-2.93641996383667,-0.0176303554326295,2.648613929748535,2.5856730937957764,1006.722412109375,42.53725051879883,16.47866439819336,3.213
